Rank,,energyUsed,meanCrossTrackError,lapTime,meanSpeed,maxCrossTrackError2,,controller.backwardRotate,controller.forwardRotate,sensor2.lf_position_y,sensor2.lf_position_x,sensor1.lf_position_y,sensor1.lf_position_x,controller.forwardSpeed
,Max,0,0.08,40,0.056,0.15,,,,,,,,
,Min,-100,0,15,0.05,0.1,,,,,,,,
1,,-40,0.010492334,24.74,0.053448877,0.112121586,,0.1,0.5,0.07,-0.03,0.07,0.01,0.4
1,,-30,0.014654664,24.33,0.053661937,0.112121586,,0.1,0.5,0.07,-0.05,0.13,0.03,0.4
1,,-30,0.014880703,23.56,0.053512484,0.112121586,,0.1,0.5,0.07,-0.03,0.07,0.03,0.4
2,,-22,0.015041681,23.3,0.053133275,0.112121586,,0.1,0.5,0.07,-0.01,0.07,0.01,0.4
2,,-22,0.01639669,23.28,0.053587887,0.112121586,,0.1,0.5,0.07,-0.03,0.13,0.01,0.4
2,,-2,0.017731012,22.96,0.053116763,0.112121586,,0.1,0.5,0.07,-0.01,0.07,0.03,0.4
2,,-2,0.027350074,20.4,0.053218938,0.112121586,,0.1,0.5,0.13,-0.05,0.13,0.01,0.4
4,,-2,0.031449799,19.91,0.053041111,0.112121586,,0.1,0.5,0.13,-0.03,0.13,0.01,0.4
4,,-40,0.031816766,19.59,0.053262773,0.112121586,,0.1,0.5,0.13,-0.05,0.13,0.03,0.4
5,,-50,0.035289059,19.04,0.053593702,0.112121586,,0.1,0.5,0.13,-0.01,0.13,0.01,0.4
5,,-30,0.037823986,18.31,0.053146524,0.112121586,,0.1,0.5,0.13,-0.03,0.13,0.05,0.4
